Site,PeriodCode,SimpPeriodCode,SiteNum,Lagomorpha,Artiodactyla,Rodentia
West Branch,7.5,C,AZ AA:16:3 (ASM),0.838414634,0.082317073,0.079268293
Jullian Wash,7.5,C,AZ BB:13:17 (ASM),0.846153846,0.133995037,0.019851117
AA:1:124,7.5,C,AZ AA:1:124 (ASM),0.862068966,0.017241379,0.120689655
Carpet,7.5,C,AZ T:4:12 (ASM),0.869565217,0.108695652,0.02173913
Frogtown,7.5,C,AZ U:15:61 (ASM),0.884543762,0.014897579,0.100558659
Grewe,7.5,C,AZ AA:2:2 (ASM),0.917717319,0.02322495,0.059057731
Los Morteros,7.5,C,AZ AA:12:57 (ASM),0.962049336,0.020872865,0.017077799
Los Morteros,7.5,C,AZ AA:12:57 (ASM),0.971910112,0.016853933,0.011235955
Junkyard Site,7.5,C,AZ U:15:33 (ASM),0.99,0,0.01
Lonetree,7.7,C,AZ AA:12:120 (ASM),0.982035928,0,0.017964072
Vegas Ruin,8,D,AZ U:3:405,0.333333333,0.578616352,0.088050314
Muchas Casas,8.3,D,AZ AA:12:368 (ASM),0.455341506,0.500875657,0.043782837
Gayler Ranch,8.3,D,AZ EE:2:76 (ASM),0.472222222,0.490740741,0.037037037
La Cuenca del Sedimento,8.3,D,AZ U:9:68 (ASM),0.52238806,0.059701493,0.417910448
Las Casitas,8.3,D,AZ U:15:27 (ASM),0.543715847,0.426229508,0.030054645
Dust Bowl Site,8.3,D,AZ U:15:76 (ASM),0.699386503,0.248466258,0.052147239
San Xavier Bridge Site,8.3,D,AZ BB:13:14 (ASM),0.796159527,0.098966027,0.104874446
Gopherette Site,8.3,D,AZ U:15:87 (ASM),0.826219512,0.009146341,0.164634146
Veres Site,8.3,D,AZ U:1:59 (ASM),0.827794562,0.126888218,0.045317221
Grapevine Vista Site,8.3,D,AZ U:8:224/1579,0.872727273,0.072727273,0.054545455
Hodges,8.3,D,AZ AA:12:18 (ASM),0.87527115,0.029284165,0.095444685
Sidewinder Ruin,8.3,D,AZ U:15:32 (ASM),0.894736842,0.052631579,0.052631579
AA:16:161,8.3,D,AZ AA:16:161 (ASM),0.942731278,0.017621145,0.039647577
Los Morteros,8.3,D,AZ AA:12:57 (ASM),0.945400593,0.018991098,0.035608309
Columbus,8.5,D,AZ V:9:57 (ASM),0.322222222,0.633333333,0.044444444
Tin Horn Wash,8.5,D,AZ V:9:62 (ASM),0.539215686,0.43872549,0.022058824
Terrace Garden,8.5,D,AZ T:8:19 (ASM),0.588652482,0.212765957,0.19858156
Monitor,8.5,D,AZ V:9:56 (ASM),0.608108108,0.27027027,0.121621622
Pueblo Salado Area 6,8.5,D,AZ T:12:47 (ASM),0.613733906,0.055793991,0.330472103
Pueblo Grande,8.5,D,AZ U:9:7 (ASM),0.627463863,0.018068331,0.354467806
East Ruin,8.5,D,AZ V:9:68 (ASM),0.678571429,0.285714286,0.035714286
T:3:323,8.5,D,AZ T:3:323 (ASM),0.693548387,0.137096774,0.169354839
Las Colinas,8.5,D,AZ T:12:10 (ASM),0.748285497,0.057404115,0.194310389
Marana,8.5,D,AZ AA:12:251 (ASM),0.796898638,0.100983359,0.102118003
Bid Kih Ruin,8.5,D,AZ AA:15:79 (ASM),0.815533981,0.067961165,0.116504854
Brady Wash Locus B,8.5,D,AZ AA:3:19 (ASM),0.821678322,0.020979021,0.157342657
Brady Wash Locus S,8.5,D,AZ AA:3:19 (ASM),0.838174274,0.037344398,0.124481328
TaDai Ruin,8.5,D,AZ AA:15:97 (ASM),0.870879121,0.042582418,0.086538462
Brady Wash Locus H,8.5,D,AZ AA:3:19 (ASM),0.924242424,0.03030303,0.045454545
Pecan,8.5,D,AZ AA:7:62 (ASM),0.948684211,0.036842105,0.014473684
Sunrise,8.5,D,AZ T:8:16 (ASM),0.968287526,0,0.031712474
Las Fosas,8.7,D,AZ U:15:19 (ASM),0.594660194,0.208737864,0.196601942
Casa Buena,8.7,D,AZ T:12:37 (ASM),0.614457831,0.027108434,0.358433735
Escalante Ruin,8.7,D,AZ U:15:3 (ASM),0.72815534,0.058252427,0.213592233
Rillito Fan,8.7,D,AZ AA:12:788 (ASM),0.792307692,0.138461538,0.069230769
Pueblo Salado,8.7,D,AZ T:12:47 (ASM),0.792517007,0.013605442,0.193877551
El Polvoron,8.7,D,AZ U:15:59 (ASM),0.802120141,0.022968198,0.174911661
Brady Wash Locus I,8.7,D,AZ AA:3:19 (ASM),0.832214765,0.030201342,0.137583893
Brady Wash Locus E,8.7,D,AZ AA:3:19 (ASM),0.85106383,0.063829787,0.085106383
Brady Wash Locus G,8.7,D,AZ AA:3:19 (ASM),0.868686869,0.01010101,0.121212121
Brady Wash Locus D,8.7,D,AZ AA:3:19 (ASM),0.896848138,0.020057307,0.083094556
McClelland Wash,8.7,D,AZ AA:7:15 (ASM),0.92431562,0.032206119,0.043478261
Brady Wash Locus C,8.7,D,AZ AA:3:19 (ASM),0.937414966,0.021768707,0.040816327
